date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-02-12,"Live, Laugh, Love",Clay Walker,98.0,spotify:track:3Th5HBAlRZF0oN31ubxHA9,0.195,0.647,246267.0,0.746,0.0,2.0,0.0271,-10.597,0.0437,98.991,4.0,1.0
2000-02-12,The Chemicals Between Us,Bush,93.0,spotify:track:2jOdqw7a9uV1s256FXXR4W,0.00317,0.512,217493.0,0.958,0.0403,7.0,0.295,-3.979,0.16,97.715,4.0,1.0
2000-02-12,"Tricky, Tricky",Lou Bega,87.0,spotify:track:4INRUdIART6zmdeLquiu5g,0.125,0.858,203133.0,0.947,0.0,0.0,0.0367,-3.557,0.235,151.037,4.0,1.0
2000-02-12,Where My Girls At?,702,48.0,spotify:track:4VSyH8AkIt3kaR5xIPFVVi,0.0352,0.705,166693.0,0.725,0.0149,4.0,0.194,-7.435,0.0506,92.186,4.0,1.0
2000-02-19,Breathe And Stop,Q-Tip,96.0,spotify:track:7nDtDxsKJ3fho8xEmU65JJ,0.0144,0.881,243867.0,0.83,0.00771,7.0,0.0626,-4.563,0.172,98.793,4.0,1.0
2000-02-19,Caught Out There,Kelis,90.0,spotify:track:1nZkrUFLq265za9lofFO3p,0.0512,0.848,291707.0,0.691,0.00803,7.0,0.0723,-6.775,0.093,92.996,4.0,1.0
2000-02-19,Deep Inside,Mary J. Blige,94.0,spotify:track:5hXIG7ldYtrTPV7Unonr8N,0.0341,0.762,326000.0,0.566,2.73e-06,0.0,0.0779,-6.749,0.0385,129.28,4.0,1.0
2000-02-19,Smoke Rings In The Dark,Gary Allan,92.0,spotify:track:47tVV7s6UzdcyTJBoIW7aX,0.277,0.534,257646.0,0.596,0.000359,2.0,0.148,-7.148,0.0279,114.957,4.0,1.0
2000-02-19,Stay The Night,IMx,78.0,spotify:track:15YtixaZ1VgE3fPfXahlzD,0.0111,0.585,219467.0,0.709,0.0,11.0,0.202,-5.604,0.0611,183.22,4.0,1.0
2000-02-19,Breathe And Stop,Q-Tip,96.0,spotify:track:7nDtDxsKJ3fho8xEmU65JJ,0.0144,0.881,243867.0,0.83,0.00771,7.0,0.0626,-4.563,0.172,98.793,4.0,1.0
2000-02-19,Caught Out There,Kelis,90.0,spotify:track:1nZkrUFLq265za9lofFO3p,0.0512,0.848,291707.0,0.691,0.00803,7.0,0.0723,-6.775,0.093,92.996,4.0,1.0
